Number,SMILES,IC50 NDM (uM),,,,
720,NCCCCCCN(CC1=NC=CC=C1)CC2=NC=CC=C2,6,,,,
721,O[C@@H]1[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@](C2)(C)N)[C@H](OC3=C(OC4=C(Cl)C=C([C@H]([C@@H](NC([C@@H](CC(C)C)NC)=O)C(N[C@H]5CC(N)=O)=O)O)C=C4)C=C([C@H](C(N[C@H](C6=CC=C(O)C7=C6)C8=O)=O)NC5=O)C=C3OC9=CC=C([C@@H](O)[C@@H](C(N[C@@H](C%10=CC(O)=CC(O)=C%107)C(NCCCCCCN(CC%11=CC=CC=N%11)CC%12=CC=CC=N%12)=O)=O)N8)C=C9Cl)O[C@@H]([C@H]1O)CO,6,,,,
938,CC1=NC2=CC=C(OC)C=C2C(N/N=C/C3=CC=C(SC)C=C3)=C1,6,,,,
946,CC1=NC2=CC3=C(OCO3)C=C2C(NNC(C4=CC=C(NS(=O)(C)=O)C=C4)=O)=C1,6,,,,
860,OB(O)[C@H](NC([C@H](C)CS)=O)CC1=COC2=C1C=CC=C2,6.06,,,,
451,OC1=CC=CC=C1C(O2)=NN=C2SCC(NC(S3)=NC4=C3C=CC=C4)=O,6.1,,,,
176,O=C(O)[C@H]1N(C(C(CS)CC2=CC=C(Br)C=C2)=O)CCC1,6.2,,,,
174,O=C(O)[C@H]1N(C(C(CS)C)=O)CCC1,6.4,,,,
209,O=C(CSC1=NN=C(C2=C(O)C=CC=C2)S1)NC3=NC4=CC([N+]([O-])=O)=CC=C4O3,6.4,,,,
444,CC(CS)C(N1CCCC1C(O)=O)=O,6.4,,,,
719,OC1=C(C2=CC(CC=C)=CC=C2O)C=C(CC=C)C=C1,6.47,,,,
66,OC(C1=NC=CC=C1NC(CC2=CC=CS2)=O)=O,6.6,,,,
312,OP(C(CCCC1=CC=CC=C1)CSC(C)=O)(O)=O,6.6,,,,
127,S=C(N(C1=CC=C(C(O)=O)C=C1)C/2=O)SC2=C/C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3,6.7,,,,
186,O=C(O)C1N(C(C(CC2=CC=CC=C2)CS)=O)CCS1,6.7,,,,
170,OC(C1=CC=C(C2=CSC=C2)C=C1CS)=O,6.78,,,,
407,OC(C[C@@H](C(O)=O)NC[C@@H](C(O)=O)NC[C@@H](C(O)=O)N)=O,6.8,,,,
458,O=C(CSC1=NN=C(C2=CC=NC=C2)S1)NC(S3)=NC4=C3C=CC=C4,6.8,,,,
847,SCC(CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)B(O)O)=O,6.87,,,,
82,OC(C1=C(SC=N1)NS(=O)(CC2=CC(Cl)=CC(Cl)=C2)=O)=O,6.9,,,,
409,OC(C[C@@H](C(O)=O)NC[C@H](C(O)=O)NC[C@@H](C(O)=O)N)=O,6.9,,,,
152,OC([C@@H](CC1=CC=CC=C1)NC([C@H](C)CS)=O)=O,7,,,,
267,OC([C@@H](N)CN[C@H](C(O)=O)CN[C@@H](CC(O)=O)C(O)=O)=O,7,,,,
335,[H][C@]1(CS[C@@H]2CS)N2[C@H](C(O)=O)CS1,7,,,,
305,SCC(CCCC1=CC=CC=C1)P(O)(O)=O,7.1,,,,
248,OC(C1=CC(C2=CC(O)=CC=C2)=CC(C(O)=O)=N1)=O,7.2,,,,
858,OB(O)[C@H](NC([C@H](C)CS)=O)CC1=CC=C(OC)C=C1,7.22,,,,
168,OC(C1=CC=C(C2=CC=CC(OCC)=C2)C=C1CS)=O,7.59,,,,
408,OC(C[C@@H](C(O)=O)NC[C@H](C(O)=O)NC[C@H](C(O)=O)N)=O,7.8,,,,
468,SC[C@@H](C)C(N1CCC[C@H]1C(O)=O)=O,7.9,,,,
36,O=C1N(CCC)SC2=CC=CC=C21,8,,,,
80,OC(C1=C(SC=N1)NS(=O)(CC2=CC(Cl)=C(Cl)C=C2)=O)=O,8,,,,
268,OC([C@H](N)CN[C@@H](C(O)=O)CN[C@@H](CC(O)=O)C(O)=O)=O,8.1,,,,
837,O=C1C2=C(O)C(O)=C(O)C=C2OC(C3=CC=CC=C3)=C1,8.1,,,,
924,OC([C@@H](N)CN[C@H](C(O)=O)CN[C@@H](CC(O)=O)C(O)=O)=O,8.1,,,,
